Period,YoYOutputChng
2005.Q1-.Q2,5.5
2005.Q2-.Q3,5.5
2005.Q3-.Q4,0.2
2005.Q4-2006.Q1,5.3
2006.Q1-.Q2,-1
2006.Q2-.Q3,-0.4
2006.Q3-.Q4,-0.4
2006.Q4-2007.Q1,2.1
2007.Q1-.Q2,0.5
2007.Q2-.Q3,2.9
2007.Q3-.Q4,0.1
2007.Q4-2008.Q1,-3.8
2008.Q1-.Q2,2.9
2008.Q2-.Q3,0.5
2008.Q3-.Q4,-5.1
2008.Q4-2009.Q1,-2.5
2009.Q1-.Q2,4.2
2009.Q2-.Q3,2
2009.Q3-.Q4,4.6
2009.Q4-2010.Q1,0.2
2010.Q1-.Q2,5.2
2010.Q2-.Q3,2.2
2010.Q3-.Q4,1.4
2010.Q4-2011.Q1,-2.7
2011.Q1-.Q2,2.3
2011.Q2-.Q3,0.9
2011.Q3-.Q4,4.5
2011.Q4-2012.Q1,-1.5
2012.Q1-.Q2,0.4
2012.Q2-.Q3,0.9
2012.Q3-.Q4,-1.8
2012.Q4-2013.Q1,4.5
2013.Q1-.Q2,-2.6
2013.Q2-.Q3,-0.2
2013.Q3-.Q4,-0.2
2013.Q4-2014.Q1,-2.7
2014.Q1-.Q2,2.9
2014.Q2-.Q3,1.1
2014.Q3-.Q4,1.4
2014.Q4-2015.Q1,1.6
2015.Q1-.Q2,4.9
2015.Q2-.Q3,1.8
2015.Q3-.Q4,-1.4
2015.Q4-2016.Q1,-3.4
2016.Q1-.Q2,2.6
2016.Q2-.Q3,2
2016.Q3-.Q4,3.9
2016.Q4-2017.Q1,-0.9
2017.Q1-.Q2,2
2017.Q2-.Q3,2.7
2017.Q3-.Q4,2.5
2017.Q4-2018.Q1,3
2018.Q1-.Q2,2.5
2018.Q2-.Q3,3.7
2018.Q3-.Q4,0.5
2018.Q4-2019.Q1,2
2019.Q1-.Q2,1.9
2019.Q2-.Q3,1.6
2019.Q3-.Q4,2.1
2019.Q4-2020.Q1,-3.8
